"comite_partido","date_scraped","comite_descricao","id","comite_estado"
"PT","2011-03-23T21:09:53.181443","Comitê Financeiro Único","419","TO"
"PSC","2011-03-23T21:09:53.273005","Comitê Financeiro Único","883","TO"
"PSDC","2011-03-23T21:09:53.283205","Comitê Financeiro Único","624","TO"
"PRP","2011-03-23T21:09:53.293028","Comitê Financeiro Único","644","TO"
"PHS","2011-03-23T21:09:53.304522","Comitê Financeiro Único","653","TO"
"PRTB","2011-03-23T21:09:53.342181","Comitê Financeiro Único","656","TO"
"PMN","2011-03-23T21:09:53.352536","Comitê Financeiro Único","661","TO"
"PDT","2011-03-23T21:09:53.365798","Comitê Financeiro Único","664","TO"
"PP","2011-03-23T21:09:53.376451","Comitê Financeiro Único","675","TO"
"PTC","2011-03-23T21:09:53.386620","Comitê Financeiro Único","733","TO"
"PSL","2011-03-23T21:09:53.396164","Comitê Financeiro Único","744","TO"
"PTB","2011-03-23T21:09:53.407698","Comitê Financeiro Único","757","TO"
"PRB","2011-03-23T21:09:53.449279","Comitê Financeiro Único","208","TO"
"PPS","2011-03-23T21:09:53.457212","Comitê Financeiro Único","181","TO"
"PT do B","2011-03-23T21:09:53.467811","Comitê Financeiro Único","425","TO"
"PT","2011-03-23T21:10:40.411204","Comitê Financeiro Nacional para Presidente da República","5","BR"
"PDT","2011-03-23T21:10:40.508835","Comitê Financeiro Nacional para Presidente da República","10","BR"
"PRTB","2011-03-23T21:10:40.648063","Comitê Financeiro Nacional para Presidente da República","23","BR"
"PSTU","2011-03-23T21:10:40.718445","Comitê Financeiro Nacional para Presidente da República","61","BR"
"PV","2011-03-23T21:10:40.808078","Comitê Financeiro Nacional para Presidente da República","101","BR"
"PSOL","2011-03-23T21:10:40.889100","Comitê Financeiro Nacional para Presidente da República","875","BR"
"PSDC","2011-03-23T21:10:41.008097","Comitê Financeiro Nacional para Presidente da República","147","BR"
"PSDB","2011-03-23T21:10:41.080676","Comitê Financeiro Nacional para Presidente da República","154","BR"
"DEM","2011-03-23T21:10:41.100399","Comitê Financeiro Nacional para Presidente da República","668","BR"
"PCB","2011-03-23T21:10:41.108738","Comitê Financeiro Nacional para Presidente da República","766","BR"
"PCO","2011-03-23T21:10:41.117683","Comitê Financeiro Nacional para Presidente da República","767","BR"
"PMDB","2011-03-23T21:10:41.127929","Comitê Financeiro Nacional para Presidente da República","102","BR"
"PSL","2011-03-23T21:10:42.808760","Comitê Financeiro Distrital/Estadual para Deputado Estadual","178","AC"
"PT","2011-03-23T21:10:42.825061","Comitê Financeiro Distrital/Estadual para Deputado Estadual","148","AC"
"PC do B","2011-03-23T21:10:42.834515","Comitê Financeiro Distrital/Estadual para Deputado Estadual","29","AC"
"PDT","2011-03-23T21:10:42.843384","Comitê Financeiro Distrital/Estadual para Deputado Estadual","135","AC"
"PDT","2011-03-23T21:10:42.868363","Comitê Financeiro Distrital/Estadual para Deputado Federal","127","AC"
"PT","2011-03-23T21:10:42.901145","Comitê Financeiro Distrital/Estadual para Deputado Federal","145","AC"
"PC do B","2011-03-23T21:10:42.907335","Comitê Financeiro Distrital/Estadual para Deputado Federal","28","AC"
"PT","2011-03-23T21:10:42.917900","Comitê Financeiro Distrital/Estadual para Governador","149","AC"
"PC do B","2011-03-23T21:10:42.931951","Comitê Financeiro Distrital/Estadual para Senador da República","27","AC"
"PT","2011-03-23T21:10:42.942803","Comitê Financeiro Distrital/Estadual para Senador da República","146","AC"
"PSOL","2011-03-23T21:10:42.952507","Comitê Financeiro Único","408","AC"
"PRP","2011-03-23T21:10:42.988614","Comitê Financeiro Único","409","AC"
"PSDC","2011-03-23T21:10:43.024750","Comitê Financeiro Único","507","AC"
"PTC","2011-03-23T21:10:43.032436","Comitê Financeiro Único","512","AC"
"PTB","2011-03-23T21:10:43.040799","Comitê Financeiro Único","522","AC"
"PSB","2011-03-23T21:10:43.049701","Comitê Financeiro Único","523","AC"
"PMN","2011-03-23T21:10:43.061886","Comitê Financeiro Único","561","AC"
"PHS","2011-03-23T21:10:43.073717","Comitê Financeiro Único","596","AC"
"DEM","2011-03-23T21:10:43.086301","Comitê Financeiro Único","625","AC"
"PRB","2011-03-23T21:10:43.118609","Comitê Financeiro Único","405","AC"
"PV","2011-03-23T21:10:43.158315","Comitê Financeiro Único","404","AC"
"PRTB","2011-03-23T21:10:43.168589","Comitê Financeiro Único","376","AC"
"PSC","2011-03-23T21:10:43.179313","Comitê Financeiro Único","343","AC"
"PSDB","2011-03-23T21:10:43.189579","Comitê Financeiro Único","276","AC"
"PPS","2011-03-23T21:10:43.199700","Comitê Financeiro Único","634","AC"
"PT do B","2011-03-23T21:10:43.210909","Comitê Financeiro Único","199","AC"
"PTN","2011-03-23T21:10:43.221987","Comitê Financeiro Único","139","AC"
"PR","2011-03-23T21:10:43.234448","Comitê Financeiro Único","108","AC"
"PP","2011-03-23T21:10:43.245422","Comitê Financeiro Único","26","AC"
"PMDB","2011-03-23T21:10:43.257343","Comitê Financeiro Único","257","AC"
"PR","2011-03-23T21:10:44.944338","Comitê Financeiro Distrital/Estadual para Deputado Estadual","604","AL"
"PDT","2011-03-23T21:10:44.984529","Comitê Financeiro Distrital/Estadual para Deputado Estadual","503","AL"
"PMDB","2011-03-23T21:10:44.995815","Comitê Financeiro Distrital/Estadual para Deputado Estadual","423","AL"
"PR","2011-03-23T21:10:45.006470","Comitê Financeiro Distrital/Estadual para Deputado Federal","603","AL"
"PDT","2011-03-23T21:10:45.042080","Comitê Financeiro Distrital/Estadual para Deputado Federal","471","AL"
"PMDB","2011-03-23T21:10:45.062459","Comitê Financeiro Distrital/Estadual para Deputado Federal","426","AL"
"PDT","2011-03-23T21:10:45.075499","Comitê Financeiro Distrital/Estadual para Governador","259","AL"
"PMDB","2011-03-23T21:10:45.084577","Comitê Financeiro Distrital/Estadual para Senador da República","428","AL"
"PRTB","2011-03-23T21:10:45.093909","Comitê Financeiro Único","315","AL"
"DEM","2011-03-23T21:10:45.118068","Comitê Financeiro Único","324","AL"
"PSDB","2011-03-23T21:10:45.137557","Comitê Financeiro Único","358","AL"
"PSC","2011-03-23T21:10:45.147348","Comitê Financeiro Único","421","AL"
"PTN","2011-03-23T21:10:45.157802","Comitê Financeiro Único","431","AL"
"PSB","2011-03-23T21:10:45.170304","Comitê Financeiro Único","459","AL"
"PC do B","2011-03-23T21:10:45.181030","Comitê Financeiro Único","495","AL"
"PP","2011-03-23T21:10:45.191334","Comitê Financeiro Único","499","AL"
"PSL","2011-03-23T21:10:45.213454","Comitê Financeiro Único","504","AL"
"PT","2011-03-23T21:10:45.250956","Comitê Financeiro Único","636","AL"
"PRP","2011-03-23T21:10:45.292847","Comitê Financeiro Único","739","AL"
"PT do B","2011-03-23T21:10:45.312943","Comitê Financeiro Único","302","AL"
"PHS","2011-03-23T21:10:45.352050","Comitê Financeiro Único","296","AL"
"PV","2011-03-23T21:10:45.376625","Comitê Financeiro Único","773","AL"
"PRB","2011-03-23T21:10:45.385437","Comitê Financeiro Único","264","AL"
"PTB","2011-03-23T21:10:45.393769","Comitê Financeiro Único","261","AL"
"PPS","2011-03-23T21:10:45.403766","Comitê Financeiro Único","218","AL"
"PMN","2011-03-23T21:10:45.411949","Comitê Financeiro Único","193","AL"
"PSOL","2011-03-23T21:10:45.420029","Comitê Financeiro Único","6","AL"
"PTC","2011-03-23T21:10:45.430637","Comitê Financeiro Único","265","AL"
"PR","2011-03-23T21:10:46.803831","Comitê Financeiro Distrital/Estadual para Deputado Estadual","763","AP"
"PR","2011-03-23T21:10:46.860100","Comitê Financeiro Distrital/Estadual para Deputado Federal","813","AP"
"PSDB","2011-03-23T21:10:46.910664","Comitê Financeiro Distrital/Estadual para Governador","602","AP"
"PSDB","2011-03-23T21:10:46.916554","Comitê Financeiro Distrital/Estadual para Senador da República","607","AP"
"PMDB","2011-03-23T21:10:46.924371","Comitê Financeiro Único","508","AP"
"PSOL","2011-03-23T21:10:46.932638","Comitê Financeiro Único","554","AP"
"PMN","2011-03-23T21:10:46.943815","Comitê Financeiro Único","572","AP"
"PTC","2011-03-23T21:10:46.954130","Comitê Financeiro Único","575","AP"
"PTN","2011-03-23T21:10:46.966976","Comitê Financeiro Único","919","AP"
"PPS","2011-03-23T21:10:46.977271","Comitê Financeiro Único","597","AP"
"PRP","2011-03-23T21:10:47.008730","Comitê Financeiro Único","601","AP"
"DEM","2011-03-23T21:10:47.062715","Comitê Financeiro Único","608","AP"
"PT","2011-03-23T21:10:47.070350","Comitê Financeiro Único","609","AP"
"PRTB","2011-03-23T21:10:47.078416","Comitê Financeiro Único","684","AP"
"PTB","2011-03-23T21:10:47.086492","Comitê Financeiro Único","736","AP"
"PDT","2011-03-23T21:10:47.095354","Comitê Financeiro Único","805","AP"
"PRB","2011-03-23T21:10:47.104888","Comitê Financeiro Único","864","AP"
"PSC","2011-03-23T21:10:47.138520","Comitê Financeiro Único","869","AP"
"PT do B","2011-03-23T21:10:47.150291","Comitê Financeiro Único","873","AP"
"PC do B","2011-03-23T21:10:47.160315","Comitê Financeiro Único","881","AP"
"PSTU","2011-03-23T21:10:47.170451","Comitê Financeiro Único","484","AP"
"PSB","2011-03-23T21:10:47.183657","Comitê Financeiro Único","465","AP"
