"comite_partido","date_scraped","comite_descricao","id","comite_estado"
"PSTU","2011-03-23T21:11:18.106326","Comitê Financeiro Único","794","PB"
"PTB","2011-03-23T21:11:18.118973","Comitê Financeiro Único","812","PB"
"PSOL","2011-03-23T21:11:18.133199","Comitê Financeiro Único","846","PB"
"PSL","2011-03-23T21:11:18.144310","Comitê Financeiro Único","152","PB"
"PRB","2011-03-23T21:11:18.156921","Comitê Financeiro Único","141","PB"
"PHS","2011-03-23T21:11:18.169449","Comitê Financeiro Único","566","PB"
"PSDB","2011-03-23T21:11:19.521663","Comitê Financeiro Distrital/Estadual para Deputado Estadual","254","PR"
"PSDB","2011-03-23T21:11:19.668274","Comitê Financeiro Distrital/Estadual para Deputado Federal","255","PR"
"PSDB","2011-03-23T21:11:19.706348","Comitê Financeiro Distrital/Estadual para Governador","251","PR"
"PSDB","2011-03-23T21:11:19.717278","Comitê Financeiro Distrital/Estadual para Senador da República","252","PR"
"DEM","2011-03-23T21:11:19.728139","Comitê Financeiro Único","194","PR"
"PV","2011-03-23T21:11:19.739928","Comitê Financeiro Único","319","PR"
"PSDC","2011-03-23T21:11:19.750920","Comitê Financeiro Único","337","PR"
"PRB","2011-03-23T21:11:19.763508","Comitê Financeiro Único","339","PR"
"PTB","2011-03-23T21:11:19.774390","Comitê Financeiro Único","342","PR"
"PT","2011-03-23T21:11:19.787556","Comitê Financeiro Único","347","PR"
"PT do B","2011-03-23T21:11:19.805742","Comitê Financeiro Único","916","PR"
"PPS","2011-03-23T21:11:19.823128","Comitê Financeiro Único","558","PR"
"PSC","2011-03-23T21:11:19.840665","Comitê Financeiro Único","583","PR"
"PTC","2011-03-23T21:11:19.851430","Comitê Financeiro Único","587","PR"
"PHS","2011-03-23T21:11:19.865992","Comitê Financeiro Único","594","PR"
"PP","2011-03-23T21:11:19.876720","Comitê Financeiro Único","627","PR"
"PMDB","2011-03-23T21:11:19.887522","Comitê Financeiro Único","639","PR"
"PRP","2011-03-23T21:11:19.899864","Comitê Financeiro Único","715","PR"
"PSL","2011-03-23T21:11:19.909724","Comitê Financeiro Único","716","PR"
"PCB","2011-03-23T21:11:19.948053","Comitê Financeiro Único","792","PR"
"PRTB","2011-03-23T21:11:19.955730","Comitê Financeiro Único","793","PR"
"PC do B","2011-03-23T21:11:19.966226","Comitê Financeiro Único","861","PR"
"PTN","2011-03-23T21:11:19.977175","Comitê Financeiro Único","872","PR"
"PSOL","2011-03-23T21:11:19.989444","Comitê Financeiro Único","901","PR"
"PR","2011-03-23T21:11:19.999704","Comitê Financeiro Único","184","PR"
"PSTU","2011-03-23T21:11:20.030723","Comitê Financeiro Único","105","PR"
"PMN","2011-03-23T21:11:20.039236","Comitê Financeiro Único","22","PR"
"PSB","2011-03-23T21:11:20.050556","Comitê Financeiro Único","7","PR"
"PDT","2011-03-23T21:11:20.058769","Comitê Financeiro Único","420","PR"
"PP","2011-03-23T21:11:22.020380","Comitê Financeiro Distrital/Estadual para Deputado Estadual","196","PE"
"PSDB","2011-03-23T21:11:22.081355","Comitê Financeiro Distrital/Estadual para Deputado Estadual","433","PE"
"PSOL","2011-03-23T21:11:22.134738","Comitê Financeiro Distrital/Estadual para Deputado Estadual","552","PE"
"PMDB","2011-03-23T21:11:22.154941","Comitê Financeiro Distrital/Estadual para Deputado Estadual","401","PE"
"PHS","2011-03-23T21:11:22.166608","Comitê Financeiro Distrital/Estadual para Deputado Estadual","412","PE"
"PSOL","2011-03-23T21:11:22.178460","Comitê Financeiro Distrital/Estadual para Deputado Federal","555","PE"
"PMDB","2011-03-23T21:11:22.261803","Comitê Financeiro Distrital/Estadual para Deputado Federal","400","PE"
"PSDB","2011-03-23T21:11:22.318537","Comitê Financeiro Distrital/Estadual para Deputado Federal","435","PE"
"PHS","2011-03-23T21:11:22.328426","Comitê Financeiro Distrital/Estadual para Deputado Federal","413","PE"
"PP","2011-03-23T21:11:22.347205","Comitê Financeiro Distrital/Estadual para Deputado Federal","197","PE"
"PSOL","2011-03-23T21:11:22.358504","Comitê Financeiro Distrital/Estadual para Governador","268","PE"
"PMDB","2011-03-23T21:11:22.373506","Comitê Financeiro Distrital/Estadual para Governador","398","PE"
"PMDB","2011-03-23T21:11:22.385428","Comitê Financeiro Distrital/Estadual para Senador da República","811","PE"
"PSOL","2011-03-23T21:11:22.421033","Comitê Financeiro Distrital/Estadual para Senador da República","683","PE"
"PCB","2011-03-23T21:11:22.431381","Comitê Financeiro Único","709","PE"
"PTN","2011-03-23T21:11:22.443792","Comitê Financeiro Único","729","PE"
"PPS","2011-03-23T21:11:22.457875","Comitê Financeiro Único","737","PE"
"PRP","2011-03-23T21:11:22.469098","Comitê Financeiro Único","787","PE"
"PTC","2011-03-23T21:11:22.481516","Comitê Financeiro Único","620","PE"
"PV","2011-03-23T21:11:22.494313","Comitê Financeiro Único","619","PE"
"PMN","2011-03-23T21:11:22.515153","Comitê Financeiro Único","617","PE"
"PT do B","2011-03-23T21:11:22.549621","Comitê Financeiro Único","582","PE"
"PSL","2011-03-23T21:11:22.559277","Comitê Financeiro Único","546","PE"
"DEM","2011-03-23T21:11:22.603828","Comitê Financeiro Único","543","PE"
"PSDC","2011-03-23T21:11:22.631106","Comitê Financeiro Único","518","PE"
"PT","2011-03-23T21:11:22.637636","Comitê Financeiro Único","448","PE"
"PDT","2011-03-23T21:11:22.645684","Comitê Financeiro Único","436","PE"
"PC do B","2011-03-23T21:11:22.654844","Comitê Financeiro Único","394","PE"
"PTB","2011-03-23T21:11:22.663645","Comitê Financeiro Único","351","PE"
"PRTB","2011-03-23T21:11:22.674964","Comitê Financeiro Único","822","PE"
"PR","2011-03-23T21:11:22.686254","Comitê Financeiro Único","228","PE"
"PSTU","2011-03-23T21:11:22.697514","Comitê Financeiro Único","188","PE"
"PSB","2011-03-23T21:11:22.708881","Comitê Financeiro Único","253","PE"
"PPS","2011-03-23T21:11:24.190672","Comitê Financeiro Distrital/Estadual para Deputado Estadual","631","PI"
"PPS","2011-03-23T21:11:24.560658","Comitê Financeiro Distrital/Estadual para Deputado Federal","704","PI"
"PSB","2011-03-23T21:11:24.700723","Comitê Financeiro Único","180","PI"
"PC do B","2011-03-23T21:11:24.790753","Comitê Financeiro Único","183","PI"
"PTB","2011-03-23T21:11:24.910759","Comitê Financeiro Único","223","PI"
"PRB","2011-03-23T21:11:25.011775","Comitê Financeiro Único","277","PI"
"PR","2011-03-23T21:11:25.130677","Comitê Financeiro Único","283","PI"
"PSC","2011-03-23T21:11:25.290749","Comitê Financeiro Único","285","PI"
"DEM","2011-03-23T21:11:25.450723","Comitê Financeiro Único","378","PI"
"PT","2011-03-23T21:11:25.531961","Comitê Financeiro Único","437","PI"
"PMN","2011-03-23T21:11:25.588630","Comitê Financeiro Único","874","PI"
"PP","2011-03-23T21:11:25.635966","Comitê Financeiro Único","515","PI"
"PTC","2011-03-23T21:11:25.782100","Comitê Financeiro Único","516","PI"
"PRTB","2011-03-23T21:11:25.804856","Comitê Financeiro Único","531","PI"
"PDT","2011-03-23T21:11:25.813386","Comitê Financeiro Único","630","PI"
"PHS","2011-03-23T21:11:25.823362","Comitê Financeiro Único","635","PI"
"PT do B","2011-03-23T21:11:25.834841","Comitê Financeiro Único","645","PI"
"PCO","2011-03-23T21:11:25.845776","Comitê Financeiro Único","762","PI"
"PSDC","2011-03-23T21:11:25.857728","Comitê Financeiro Único","771","PI"
"PSOL","2011-03-23T21:11:25.869780","Comitê Financeiro Único","790","PI"
"PSTU","2011-03-23T21:11:25.881559","Comitê Financeiro Único","852","PI"
"PSL","2011-03-23T21:11:25.893104","Comitê Financeiro Único","858","PI"
"PMDB","2011-03-23T21:11:25.904079","Comitê Financeiro Único","155","PI"
"PSDB","2011-03-23T21:11:25.914534","Comitê Financeiro Único","117","PI"
"PV","2011-03-23T21:11:25.925645","Comitê Financeiro Único","463","PI"
"PSDB","2011-03-23T21:11:27.370350","Comitê Financeiro Distrital/Estadual para Deputado Estadual","245","RJ"
"PSDB","2011-03-23T21:11:27.461911","Comitê Financeiro Distrital/Estadual para Deputado Federal","243","RJ"
"PSDB","2011-03-23T21:11:27.578250","Comitê Financeiro Distrital/Estadual para Governador","247","RJ"
"PSDB","2011-03-23T21:11:27.682000","Comitê Financeiro Distrital/Estadual para Senador da República","242","RJ"
